;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
OECD Europe;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1532;1803;1312;1594;2157;1519;1357;1365;717;574;493;523;488;362;368;325;305;247;172;182;182;176;229;313;351;374;428;576;551;540;352;420;395;470;382;..
OECD Europe;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Oil products;..;..;..;..;..;..;..;..;..;..;..;1891226;2154748;2406818;2022530;2041829;2238424;2162592;2462212;2385499;2113550;1921562;1683721;1665200;1704625;1280177;1427799;1315589;1283746;1115226;1152141;1225922;1205747;1155385;1109361;1086006;1242925;1094909;1062323;1097899;984003;1110402;1028114;1055371;1011340;995190;957429;786599;893680;820034;808276;719414;720701;745352;674930;714799;763882;774955;606831;584668;..
OECD Europe;Natural gas;..;..;..;..;..;..;..;..;..;..;..;71960;108288;148587;177503;214429;258771;289960;335445;374798;381838;392060;407008;429522;618803;687274;708495;748945;850700;856933;1107350;1262474;1224305;1274216;1349570;1473502;1636647;1558240;1624402;1612076;1464136;1538928;1473912;1751074;1840285;1897357;1970650;1811096;1974600;1918782;2021961;1772699;1888517;1997494;1731178;1904567;1946318;1928074;2012114;1945507;..
OECD Europe;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Geothermal;..;..;..;..;..;..;..;..;..;..;..;511;518;533;536;565;605;619;619;619;637;666;713;763;770;778;814;814;814;900;4786;4785;4851;4813;4885;4633;4582;4670;4710;4719;10440;10529;12433;13878;13554;12437;12576;12281;12822;13455;11862;12385;12335;12601;10463;9606;9650;10720;10792;10746;..
OECD Europe;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276;807;974;1127;1237;1409;1606;1814;2183;2464;2470;2848;2988;3207;3668;3855;4155;4172;4786;5816;5819;7882;8853;9600;9595;10364;10421;11153;11770;12603;12615;..
OECD Europe;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;33958;43418;33957;36959;32905;34387;36016;34949;34851;44074;45732;46158;47224;48313;51173;7400;7111;6316;5270;24100;26259;25728;37724;39869;44947;49699;49104;47503;55396;62926;65535;69514;102645;118679;110758;115172;125947;140661;154814;173946;144973;159009;170228;157780;166139;171137;184892;186479;188407;..
